,Unnamed: 0,code_state,abbrev_state,year,month,TMIN_min,TMIN_max,RH_mean,photoperiod_monthly,date
0,0,11,RO,2010,1,21.95564086029015,23.286664384174586,85.30080647622384,12.5790188482971,2010-01-01
1,1,11,RO,2010,2,22.299640151170586,23.64077604209984,85.6219782934084,12.36288352190062,2010-02-01
2,2,11,RO,2010,3,22.3239848927292,23.636264158537607,84.25845105949762,12.063237985938793,2010-03-01
3,3,11,RO,2010,4,21.40821872002039,22.74897431715941,78.27559136610765,11.746695677855088,2010-04-01
4,4,11,RO,2010,5,19.81328615716314,21.20625166620865,76.06516386557453,11.484701734124767,2010-05-01
5,5,11,RO,2010,6,18.71583979618855,20.154706163284104,71.60044006445469,11.355948685368396,2010-06-01
6,6,11,RO,2010,7,16.826180284431494,18.364883011683045,66.68379611117076,11.416365180773512,2010-07-01
7,7,11,RO,2010,8,16.927998910175067,18.46715485665106,56.37830915048755,11.642094225949162,2010-08-01
8,8,11,RO,2010,9,21.32659580401885,22.706051190694176,63.9081902846312,11.947254985419132,2010-09-01
9,9,11,RO,2010,10,21.55354018956793,22.91559564741906,73.81250544043984,12.263019316532624,2010-10-01
10,10,11,RO,2010,11,21.770194841042542,23.10037304438077,79.63707374181503,12.522449246196851,2010-11-01
11,11,11,RO,2010,12,21.013280059208647,22.44193173223926,79.94225289271428,12.644625252512922,2010-12-01
12,12,11,RO,2011,1,21.206802934925847,22.57904690607605,85.26760288740209,12.5790188482971,2011-01-01
13,13,11,RO,2011,2,21.223780497089844,22.557462835049893,85.46990633534861,12.36288352190062,2011-02-01
14,14,11,RO,2011,3,21.290526690613245,22.670223814677957,85.27453781771601,12.063237985938793,2011-03-01
15,15,11,RO,2011,4,21.32276140604264,22.607403629254076,82.43403669993083,11.746695677855088,2011-04-01
16,16,11,RO,2011,5,19.717009756760323,21.13932148280274,76.66700903653506,11.484701734124767,2011-05-01
17,17,11,RO,2011,6,18.49657372694749,19.91287204241141,71.0451497224661,11.355948685368396,2011-06-01
18,18,11,RO,2011,7,18.215236305894685,19.627163420244127,66.41666081525551,11.416365180773512,2011-07-01
19,19,11,RO,2011,8,18.539115700473268,20.00619419810198,60.79839860475981,11.642094225949162,2011-08-01
20,20,11,RO,2011,9,20.88634908627241,22.234515966513214,70.09001869299473,11.947254985419132,2011-09-01
21,21,11,RO,2011,10,21.386819006491532,22.709366282517504,77.36961580565195,12.263019316532624,2011-10-01
